Title,Channel,Views,Likes,Comments,Licensed,official_video,Stream,Artist_Track
Britney Spears - Criminal (Official Video),BritneySpearsVEVO,200917975.0,2725163.0,122790.0,True,True,187278764.0,Britney Spears-Criminal
Ludacris - Rollout (My Business) (Official Music Video),LudacrisVEVO,28519944.0,184850.0,5935.0,True,True,58348754.0,Ludacris-Rollout (My Business)
U2 - One (Official Music Video),U2VEVO,144625593.0,617689.0,20280.0,True,True,447961684.0,U2-One
Alicia Keys - Underdog (Official Video),aliciakeysVEVO,53836477.0,676119.0,17554.0,True,True,172583560.0,Alicia Keys-Underdog
JAY-Z - 4:44,JayZVEVO,25189646.0,272421.0,11734.0,True,True,73726722.0,JAY-Z-4:44
"ᴴᴰ Hans Zimmer - Chevaliers de Sangreal ALL VERSIONS (The Da Vinci Code), (Angels & Demons)",NotLessOrEqual,12702181.0,66885.0,2792.0,False,False,55582162.0,Hans Zimmer-Chevaliers De Sangreal - From The Da Vinci Code Original Motion Picture Soundtrack
Billy Joel - Uptown Girl (Official Video),billyjoelVEVO,208075172.0,1377238.0,42455.0,True,True,621088349.0,Billy Joel-Uptown Girl
Deftones - Be Quiet And Drive (Far Away) (Official Video) [HD Remaster],Deftones,36805017.0,318193.0,12114.0,True,True,122225430.0,Deftones-Be Quiet and Drive (Far Away)
TZ da Coronel - Não Faz Isso Comigo Não ft. Victor WAO (Áudio Oficial) #Faixa12,Calli Cartel Records,31780200.0,361143.0,2461.0,True,True,26856218.0,Tz da Coronel-Não faz isso Comigo não
Aventura   Obsession  Video Oficial HQ   Official Video HQ ,facundomatamalas,1398246.0,4898.0,105.0,False,False,343220984.0,Aventura-Obsesion
Samjhawan | Shreya Ghoshal | MTVBeats,Shreya Ghoshal Fanpage,502800.0,15379.0,436.0,False,False,84959335.0,Shreya Ghoshal-Samjhawan
The Cure - Friday I'm In Love,TheCureVEVO,100565466.0,588104.0,14772.0,True,True,,The Cure-Friday I'm in Love
Summer Walker - Come Thru (with Usher) [Official Music Video],Summer Walker,14700542.0,264129.0,8034.0,False,True,198594496.0,Usher-Come Thru (with Usher)
"Black Eyed Peas, Anitta, El Alfa - SIMPLY THE BEST (Official Music Video)",BlackEyedPeasVEVO,43226385.0,242932.0,38381.0,True,True,18501860.0,Black Eyed Peas-SIMPLY THE BEST
Johnny Cash - I Walk the Line (Man in Black: Live in Denmark),JohnnyCashVEVO,6543491.0,53415.0,1388.0,True,True,278400616.0,Johnny Cash-I Walk The Line - Single Version
"Bruno Mars, Anderson .Paak, Silk Sonic - After Last Night w/ Thundercat & Bootsy [Official Audio]",Bruno Mars,21486600.0,253819.0,6017.0,True,True,94525595.0,Silk Sonic-After Last Night (with Thundercat & Bootsy Collins)
Exit Music (For A Film),Radiohead - Topic,10644157.0,171322.0,1669.0,True,True,146857863.0,Radiohead-Exit Music (For A Film)
Chris Brown - Forever (Official HD Video),ChrisBrownVEVO,310110524.0,1069833.0,54530.0,True,True,349456576.0,Chris Brown-Forever
Gorillaz - Feel Good Inc. (Official Video),Gorillaz,693555221.0,6220896.0,169907.0,True,True,1040234854.0,Gorillaz-Feel Good Inc.
Madonna - Back That Up To The Beat (Demo Version) (Official Audio),Madonnas,895013.0,26138.0,457.0,False,False,7165771.0,Madonna-Back That Up To The Beat - demo version
Chris Brown - Wet the Bed (Official Audio) ft. Ludacris,ChrisBrownVEVO,62379960.0,432601.0,10064.0,True,True,92083585.0,Chris Brown-Wet The Bed (feat. Ludacris)
Y Hubo Alguien - Marc Anthony (video oficial).wmv,THEMASKK1991,904285.0,6295.0,180.0,False,False,96858625.0,Marc Anthony-Y Hubo Alguien
Die drei Fragezeichen - Das Geheimnis der Geisterinsel,Serien Schätze de,21912.0,256.0,5.0,False,False,,Die drei ???-Teil 3 - Das Geheimnis der Geisterinsel
System Of A Down - Toxicity (Official HD Video),systemofadownVEVO,736827328.0,3961603.0,93489.0,True,True,628447295.0,System Of A Down-Toxicity
"Pharrell Williams, Travis Scott - Down In Atlanta (Official Lyric Video)",PharrellWilliamsVEVO,3658044.0,88925.0,2271.0,True,True,42006396.0,Pharrell Williams-Down In Atlanta
Mariah Carey - Without You (Live Video Version),MariahCareyVEVO,379787199.0,1814454.0,64494.0,True,True,194107435.0,Mariah Carey-Without You
"Kun Faya Kun Full Video Song Rockstar | Ranbir Kapoor | A.R. Rahman, Javed Ali, Mohit Chauhan",T-Series,333829289.0,2718990.0,94883.0,True,True,73834235.0,A.R. Rahman-Kun Faya Kun
Tory Lanez - The Take (Feat. Chris Brown) (Official Audio),Tory Lanez,58687130.0,705272.0,7076.0,False,True,256262137.0,Tory Lanez-The Take (feat. Chris Brown)
Color Esperanza 2020 - Various Artists (Official Video),Latin Waves,24706293.0,557112.0,17598.0,False,False,89466323.0,Farruko-Color Esperanza 2020
Gorillaz - Dirty Harry (Official Video),Gorillaz,154761056.0,1386920.0,39240.0,True,True,191074713.0,Gorillaz-Dirty Harry
Bruno Mars & Anderson .Paak as Silk Sonic - 777 (64th GRAMMY Awards Performance),Bruno Mars,6173944.0,118727.0,3542.0,True,True,39022468.0,Silk Sonic-777
Eminem - Mockingbird [Official Music Video],EminemVEVO,719661717.0,5550929.0,205147.0,True,True,908006704.0,Eminem-Mockingbird
Rapp Snitch Knishes (feat. Mr. Fantastik),MF DOOM - Topic,17441901.0,282222.0,631.0,True,True,144822002.0,MF DOOM-Rapp Snitch Knishes feat. Mr. Fantastik
Johnny Cash-The_Man_Comes Around,TheJohnnyCashChannel,58461831.0,295090.0,22823.0,False,False,89337872.0,Johnny Cash-The Man Comes Around
Yaaradi Nee Mohini - Enkeyoo Partha Video | Dhanush | Yuvanshankar Raja,SonyMusicSouthVEVO,33206070.0,282292.0,8278.0,True,True,31303756.0,Yuvan Shankar Raja-Enkeyoo Partha
ENHYPEN (엔하이픈) 'Future Perfect (Pass the MIC)' Official MV,HYBE LABELS,31347080.0,1707066.0,230290.0,True,True,52034165.0,ENHYPEN-Future Perfect (Pass the MIC)
Nate Dogg - I Got Love (Official Video) [Explicit],UPROXX Video,8077133.0,111121.0,1509.0,True,True,53098241.0,Nate Dogg-I Got Love
